sim.id,measurement,method,variable,component,value
7,sd,lrvb,gamma,3,0.23592516931509
7,mean,truth,gamma,4,-1.14683300375069
7,mean,mfvb,gamma,4,-0.807008562147886
7,sd,mfvb,gamma,4,0.193092528836129
7,sd,lrvb,gamma,4,0.229882885987791
7,mean,truth,gamma,5,-0.0727340748569517
7,mean,mfvb,gamma,5,0.231583310006218
7,sd,mfvb,gamma,5,0.212041010277196
7,sd,lrvb,gamma,5,0.242697386492523
7,mean,mcmc,beta,1,-0.281843213231735
7,sd,mcmc,beta,1,0.10743641031144
7,effsize,mcmc,beta,1,1700
7,mean,mcmc,beta,2,2.11257981126931
7,sd,mcmc,beta,2,0.108582561662897
7,effsize,mcmc,beta,2,1700
7,mean,mcmc,beta,3,1.54293474566505
7,sd,mcmc,beta,3,0.0893876424446105
7,effsize,mcmc,beta,3,2202.73952888803
7,mean,mcmc,tau,-1,0.266105619190509
7,sd,mcmc,tau,-1,0.0172017798594263
7,effsize,mcmc,tau,-1,1700
7,mean,mcmc,nu,-1,2.83253308802893
7,sd,mcmc,nu,-1,1.63837607173244
7,effsize,mcmc,nu,-1,1700
7,mean,mcmc,gamma,1,-0.242161856989714
7,sd,mcmc,gamma,1,0.246602682797889
7,effsize,mcmc,gamma,1,1700
7,mean,mcmc,gamma,2,0.686405212450613
7,sd,mcmc,gamma,2,0.230509707645822
7,effsize,mcmc,gamma,2,1700
7,mean,mcmc,gamma,3,0.574174640839206
7,sd,mcmc,gamma,3,0.225895491939871
7,effsize,mcmc,gamma,3,1700
7,mean,mcmc,gamma,4,-0.551186038810577
7,sd,mcmc,gamma,4,0.218592318718113
7,effsize,mcmc,gamma,4,1700
7,mean,mcmc,gamma,5,0.419124280669906
7,sd,mcmc,gamma,5,0.236684875564043
7,effsize,mcmc,gamma,5,1517.19589568847
8,mean,truth,tau,-1,0.33710438820986
8,mean,mfvb,tau,-1,0.331961769793682
8,sd,mfvb,tau,-1,0.0209116258965466
8,sd,lrvb,tau,-1,0.0210716396305309
8,mean,truth,nu,-1,3.0035295698455
8,mean,mfvb,nu,-1,1.76531811331207
8,sd,mfvb,nu,-1,0.832178939249604
8,sd,lrvb,nu,-1,0.845581374679194
8,mean,truth,beta,1,1.13684603927592
8,mean,mfvb,beta,1,1.12451910658252
8,sd,mfvb,beta,1,0.082555009730372
8,sd,lrvb,beta,1,0.104035131202077
8,mean,truth,beta,2,2.77344289030825
8,mean,mfvb,beta,2,2.57392143431143
8,sd,mfvb,beta,2,0.0783630130110154
8,sd,lrvb,beta,2,0.105758393686711
8,mean,truth,beta,3,0.472727814845071
8,mean,mfvb,beta,3,0.406920952412545
8,sd,mfvb,beta,3,0.0817359326282671
8,sd,lrvb,beta,3,0.0820032748921482
8,mean,truth,gamma,1,0.137510825080964
8,mean,mfvb,gamma,1,0.37771217277252
8,sd,mfvb,gamma,1,0.204633705783215
8,sd,lrvb,gamma,1,0.233610285357102
8,mean,truth,gamma,2,0.0602705479200031
8,mean,mfvb,gamma,2,0.165899615269279
8,sd,mfvb,gamma,2,0.184170275492881
8,sd,lrvb,gamma,2,0.206530620970866
8,mean,truth,gamma,3,-0.109019068830168
8,mean,mfvb,gamma,3,0.466815938580336
8,sd,mfvb,gamma,3,0.19003640607664
8,sd,lrvb,gamma,3,0.215237655172172
8,mean,truth,gamma,4,-0.407202481986942
8,mean,mfvb,gamma,4,-0.531201680253487
8,sd,mfvb,gamma,4,0.174964659971945
8,sd,lrvb,gamma,4,0.207483943342343
8,mean,truth,gamma,5,0.207297047283615
8,mean,mfvb,gamma,5,0.498464591114343
8,sd,mfvb,gamma,5,0.192256839531374
8,sd,lrvb,gamma,5,0.221859571158983
8,mean,mcmc,beta,1,0.944257944642242
8,sd,mcmc,beta,1,0.104499282474333
8,effsize,mcmc,beta,1,1700
8,mean,mcmc,beta,2,2.29164200725419
8,sd,mcmc,beta,2,0.102856404741015
8,effsize,mcmc,beta,2,1958.07196897231
8,mean,mcmc,beta,3,0.372280379673036
8,sd,mcmc,beta,3,0.0800333491674274
8,effsize,mcmc,beta,3,1823.97390337108
8,mean,mcmc,tau,-1,0.326868054473903
8,sd,mcmc,tau,-1,0.0204118342766578
8,effsize,mcmc,tau,-1,2383.66478338756
8,mean,mcmc,nu,-1,2.45497675213425
8,sd,mcmc,nu,-1,1.50367781313523
8,effsize,mcmc,nu,-1,1700
8,mean,mcmc,gamma,1,0.67647292055138
8,sd,mcmc,gamma,1,0.238376626857385
8,effsize,mcmc,gamma,1,1700
8,mean,mcmc,gamma,2,0.40538128794264
8,sd,mcmc,gamma,2,0.21110583447715
8,effsize,mcmc,gamma,2,1700
8,mean,mcmc,gamma,3,0.72494900303615
8,sd,mcmc,gamma,3,0.219537215354801
8,effsize,mcmc,gamma,3,1523.35913310137
8,mean,mcmc,gamma,4,-0.224311703677555
8,sd,mcmc,gamma,4,0.204014305434414
8,effsize,mcmc,gamma,4,1700
8,mean,mcmc,gamma,5,0.770713197379729
8,sd,mcmc,gamma,5,0.225469134855299
8,effsize,mcmc,gamma,5,1823.66630357751
9,mean,truth,tau,-1,0.854031354355519
9,mean,mfvb,tau,-1,0.832827099453756
9,sd,mfvb,tau,-1,0.052463175958807
9,sd,lrvb,tau,-1,0.0528844188233302
9,mean,truth,nu,-1,1.96928819249086
9,mean,mfvb,nu,-1,1.03005875494131
9,sd,mfvb,nu,-1,0.485574353759716
9,sd,lrvb,nu,-1,0.489662817263317
9,mean,truth,beta,1,2.09343874472916
9,mean,mfvb,beta,1,2.09209467635505
9,sd,mfvb,beta,1,0.0521314406888836
9,sd,lrvb,beta,1,0.0672412986875407
9,mean,truth,beta,2,0.0805776736074284
9,mean,mfvb,beta,2,0.0880456173969798
9,sd,mfvb,beta,2,0.0494833058512058
9,sd,lrvb,beta,2,0.0686714805296556
9,mean,truth,beta,3,1.19195042626954
9,mean,mfvb,beta,3,1.17899674121858
9,sd,mfvb,beta,3,0.0516139366611973
9,sd,lrvb,beta,3,0.0517930748424424
9,mean,truth,gamma,1,0.554659101281385
9,mean,mfvb,gamma,1,0.623490121543725
9,sd,mfvb,gamma,1,0.133022685685405
9,sd,lrvb,gamma,1,0.153722937929416
9,mean,truth,gamma,2,-0.483966372944007
9,mean,mfvb,gamma,2,-0.480276337527961
9,sd,mfvb,gamma,2,0.119042166873497
9,sd,lrvb,gamma,2,0.135170212685684
9,mean,truth,gamma,3,-0.84767043252593
9,mean,mfvb,gamma,3,-0.790622862188195
9,sd,mfvb,gamma,3,0.123025749308935
9,sd,lrvb,gamma,3,0.140821433125645
9,mean,truth,gamma,4,-1.34839000063613
9,mean,mfvb,gamma,4,-1.35537849974095
9,sd,mfvb,gamma,4,0.112827403493279
9,sd,lrvb,gamma,4,0.136664729731526
9,mean,truth,gamma,5,0.98124761970414
