sim.id,measurement,method,variable,component,value
3,mean,mcmc,gamma,4,0.374755226328494
3,sd,mcmc,gamma,4,0.100367992314256
3,effsize,mcmc,gamma,4,1700
3,mean,mcmc,gamma,5,0.467634316729229
3,sd,mcmc,gamma,5,0.0865422511410969
3,effsize,mcmc,gamma,5,1700
4,mean,truth,tau,-1,0.441282709794953
4,mean,mfvb,tau,-1,0.427480772270201
4,sd,mfvb,tau,-1,0.0269287574687807
4,sd,lrvb,tau,-1,0.0271423802927457
4,mean,truth,nu,-1,2.49890859028867
4,mean,mfvb,nu,-1,1.75728366064229
4,sd,mfvb,nu,-1,0.828391461938991
4,sd,lrvb,nu,-1,0.833899208266918
4,mean,truth,beta,1,2.34323764372098
4,mean,mfvb,beta,1,2.36824012403103
4,sd,mfvb,beta,1,0.0725424344155153
4,sd,lrvb,beta,1,0.0987620504431537
4,mean,truth,beta,2,1.64910899300215
4,mean,mfvb,beta,2,1.54177065831771
4,sd,mfvb,beta,2,0.0681149232227002
4,sd,lrvb,beta,2,0.0682796798370082
4,mean,truth,beta,3,2.46969914451671
4,mean,mfvb,beta,3,2.56690794287396
4,sd,mfvb,beta,3,0.0669568428335171
4,sd,lrvb,beta,3,0.0671981648027793
4,mean,truth,gamma,1,-0.990373303109958
4,mean,mfvb,gamma,1,-0.829003486592478
4,sd,mfvb,gamma,1,0.11310675279413
4,sd,lrvb,gamma,1,0.125422292596109
4,mean,truth,gamma,2,-0.463113329414948
4,mean,mfvb,gamma,2,-0.440754530470939
4,sd,mfvb,gamma,2,0.109587553026538
4,sd,lrvb,gamma,2,0.117484400517179
4,mean,truth,gamma,3,0.0743568994321438
4,mean,mfvb,gamma,3,0.166976860974429
4,sd,mfvb,gamma,3,0.116862357387696
4,sd,lrvb,gamma,3,0.127014637089165
4,mean,truth,gamma,4,-0.527106250175878
4,mean,mfvb,gamma,4,-0.384389314036824
4,sd,mfvb,gamma,4,0.123590814459437
4,sd,lrvb,gamma,4,0.13111967032809
4,mean,truth,gamma,5,-0.0481254658988592
4,mean,mfvb,gamma,5,-0.0131846519120515
4,sd,mfvb,gamma,5,0.102397078695741
4,sd,lrvb,gamma,5,0.111777509183384
4,mean,mcmc,beta,1,2.15296348683372
4,sd,mcmc,beta,1,0.0941913474579733
4,effsize,mcmc,beta,1,1700
4,mean,mcmc,beta,2,1.48261896540728
4,sd,mcmc,beta,2,0.0653283705924039
4,effsize,mcmc,beta,2,1700
4,mean,mcmc,beta,3,2.46519841791056
4,sd,mcmc,beta,3,0.0661264932925979
4,effsize,mcmc,beta,3,1479.52444250455
4,mean,mcmc,tau,-1,0.419712907478876
4,sd,mcmc,tau,-1,0.0265718180150496
4,effsize,mcmc,tau,-1,1700
4,mean,mcmc,nu,-1,3.94723870853209
4,sd,mcmc,nu,-1,2.22122091689446
4,effsize,mcmc,nu,-1,1834.05975820362
4,mean,mcmc,gamma,1,-0.709183887241699
4,sd,mcmc,gamma,1,0.127998833353226
4,effsize,mcmc,gamma,1,1344.0626609099
4,mean,mcmc,gamma,2,-0.332581669965705
4,sd,mcmc,gamma,2,0.116234865789142
4,effsize,mcmc,gamma,2,2248.42664059645
4,mean,mcmc,gamma,3,0.269501226529425
4,sd,mcmc,gamma,3,0.125117545136471
4,effsize,mcmc,gamma,3,1700
4,mean,mcmc,gamma,4,-0.274798221309082
4,sd,mcmc,gamma,4,0.128132945152948
4,effsize,mcmc,gamma,4,1700
4,mean,mcmc,gamma,5,0.0846299526918185
4,sd,mcmc,gamma,5,0.113016283655039
4,effsize,mcmc,gamma,5,1700
5,mean,truth,tau,-1,0.442970219065272
5,mean,mfvb,tau,-1,0.453396146513065
5,sd,mfvb,tau,-1,0.0285612725968708
5,sd,lrvb,tau,-1,0.0287912628497291
5,mean,truth,nu,-1,2.41603598318133
5,mean,mfvb,nu,-1,1.33044296316073
5,sd,mfvb,nu,-1,0.627176827488585
5,sd,lrvb,nu,-1,0.633416088788038
5,mean,truth,beta,1,1.14230463899972
5,mean,mfvb,beta,1,1.07802729238995
5,sd,mfvb,beta,1,0.070439788007237
5,sd,lrvb,beta,1,0.0963209340993065
5,mean,truth,beta,2,0.0389453355000944
5,mean,mfvb,beta,2,0.0326527765632667
5,sd,mfvb,beta,2,0.0661404939425447
5,sd,lrvb,beta,2,0.066301761724533
5,mean,truth,beta,3,0.911141096414318
5,mean,mfvb,beta,3,0.845611623736484
5,sd,mfvb,beta,3,0.0650159535604596
5,sd,lrvb,beta,3,0.0652505149538043
5,mean,truth,gamma,1,-0.314561742287492
5,mean,mfvb,gamma,1,-0.16347678694899
5,sd,mfvb,gamma,1,0.110181693575776
5,sd,lrvb,gamma,1,0.121865722165369
5,mean,truth,gamma,2,-1.07105088099647
5,mean,mfvb,gamma,2,-1.24608594227117
5,sd,mfvb,gamma,2,0.10673233750666
5,sd,lrvb,gamma,2,0.114984027214455
5,mean,truth,gamma,3,-0.284683836363055
5,mean,mfvb,gamma,3,-0.164169189346871
5,sd,mfvb,gamma,3,0.11386506460866
5,sd,lrvb,gamma,3,0.123986851952045
5,mean,truth,gamma,4,-0.837140691047742
5,mean,mfvb,gamma,4,-0.867306075534415
5,sd,mfvb,gamma,4,0.12047030670897
5,sd,lrvb,gamma,4,0.128213001561966
5,mean,truth,gamma,5,-0.691575863916049
5,mean,mfvb,gamma,5,-0.587443363954202
5,sd,mfvb,gamma,5,0.0996907722298385
5,sd,lrvb,gamma,5,0.109132267257258
5,mean,mcmc,beta,1,0.982424734073475
5,sd,mcmc,beta,1,0.0898916879424618
5,effsize,mcmc,beta,1,1910.10709048701
5,mean,mcmc,beta,2,0.0349388440430239
5,sd,mcmc,beta,2,0.0613772796141431
5,effsize,mcmc,beta,2,1700
5,mean,mcmc,beta,3,0.813391637475199
5,sd,mcmc,beta,3,0.0661133436218976
5,effsize,mcmc,beta,3,1700
5,mean,mcmc,tau,-1,0.451399983944706
5,sd,mcmc,tau,-1,0.0285752553786385
5,effsize,mcmc,tau,-1,1700
5,mean,mcmc,nu,-1,2.09537249954173
5,sd,mcmc,nu,-1,1.1885571441696
5,effsize,mcmc,nu,-1,1826.75243874792
5,mean,mcmc,gamma,1,-0.116091114986338
5,sd,mcmc,gamma,1,0.118391607412838
5,effsize,mcmc,gamma,1,1700
5,mean,mcmc,gamma,2,-1.19377879667908
5,sd,mcmc,gamma,2,0.115271515949667
5,effsize,mcmc,gamma,2,1700
5,mean,mcmc,gamma,3,-0.112112563690794
5,sd,mcmc,gamma,3,0.121719128123965
5,effsize,mcmc,gamma,3,1700
5,mean,mcmc,gamma,4,-0.811705526740091
5,sd,mcmc,gamma,4,0.12904921363619
5,effsize,mcmc,gamma,4,1700
5,mean,mcmc,gamma,5,-0.542928598487117
5,sd,mcmc,gamma,5,0.105486261572189
5,effsize,mcmc,gamma,5,1700
6,mean,truth,tau,-1,0.418697145602466
6,mean,mfvb,tau,-1,0.433629884750838
6,sd,mfvb,tau,-1,0.0273161151451504
6,sd,lrvb,tau,-1,0.027533684371251
6,mean,truth,nu,-1,3.19157446141301
6,mean,mfvb,nu,-1,1.46358549493824
6,sd,mfvb,nu,-1,0.689940818878068
6,sd,lrvb,nu,-1,0.694667565091079
6,mean,truth,beta,1,0.388648380311949
6,mean,mfvb,beta,1,0.339138866933626
6,sd,mfvb,beta,1,0.0720265207968474
6,sd,lrvb,beta,1,0.0980925455062938
6,mean,truth,beta,2,0.674020370504619
6,mean,mfvb,beta,2,0.746551198205149
6,sd,mfvb,beta,2,0.0676304685125406
6,sd,lrvb,beta,2,0.0677951211485958
6,mean,truth,beta,3,1.69380554877084
6,mean,mfvb,beta,3,1.7186272846512
6,sd,mfvb,beta,3,0.0664806174072593
6,sd,lrvb,beta,3,0.0667218967804766
6,mean,truth,gamma,1,-0.817781755028677
6,mean,mfvb,gamma,1,-0.912791459142431
6,sd,mfvb,gamma,1,0.112528501001537
6,sd,lrvb,gamma,1,0.124657122536623
6,mean,truth,gamma,2,-0.514434387010334
6,mean,mfvb,gamma,2,-0.426020360535968
6,sd,mfvb,gamma,2,0.109013806950638
6,sd,lrvb,gamma,2,0.116814986423094
6,mean,truth,gamma,3,0.447290377132952
6,mean,mfvb,gamma,3,0.637274863914087
6,sd,mfvb,gamma,3,0.116280760127124
6,sd,lrvb,gamma,3,0.126539910698344
6,mean,truth,gamma,4,0.424022771665741
6,mean,mfvb,gamma,4,0.509012035572875
6,sd,mfvb,gamma,4,0.123007159837285
6,sd,lrvb,gamma,4,0.130413359739486
6,mean,truth,gamma,5,-0.579974878358716
