sim.id,variable,measurement,method,value
10,log_tau,mean,mcmc,1.0542513863527
10,log_tau,sd,mcmc,0.181587611152493
11,mu,mean,truth,0.957151222249498
11,tau,mean,truth,2.95256515270798
11,log_tau,mean,truth,1.08267433580881
11,mu,mean,mfvb,0.913274862598671
11,tau,mean,mfvb,2.06219102205265
11,log_tau,mean,mfvb,0.721783581279454
11,mu,sd,mfvb,0.0313318029651069
11,tau,sd,mfvb,0.129905823815748
11,log_tau,sd,mfvb,0.0630566245743312
11,mu,sd,lrvb,0.0486626882365284
11,tau,sd,lrvb,0.263492444249286
11,log_tau,sd,lrvb,0.12780390131892
11,mu,mean,mcmc,0.912823404551755
11,mu,sd,mcmc,0.0478785482516862
11,mu,effsize,mcmc,1297.05564268137
11,tau,mean,mcmc,1.99787350556591
11,tau,sd,mcmc,0.273317828249006
11,tau,effsize,mcmc,756.519001792018
11,log_tau,mean,mcmc,0.682858940728786
11,log_tau,sd,mcmc,0.13571464220539
12,mu,mean,truth,1.52071229389821
12,tau,mean,truth,2.42887646881146
12,log_tau,mean,truth,0.887428791917999
12,mu,mean,mfvb,1.5157616028223
12,tau,mean,mfvb,2.33512567693624
12,log_tau,mean,mfvb,0.846080273536123
12,mu,sd,mfvb,0.0294440261355495
12,tau,sd,mfvb,0.147099090982254
12,log_tau,sd,mfvb,0.0630566245743312
12,mu,sd,lrvb,0.044015341464843
12,tau,sd,lrvb,0.292944665774475
12,log_tau,sd,lrvb,0.125482767138022
12,mu,mean,mcmc,1.5152186704543
12,mu,sd,mcmc,0.0446523509153764
12,mu,effsize,mcmc,1471.06701791037
12,tau,mean,mcmc,2.2724154264932
12,tau,sd,mcmc,0.297927160773753
12,tau,effsize,mcmc,874.368247689127
12,log_tau,mean,mcmc,0.812313533532091
12,log_tau,sd,mcmc,0.130688619809338
13,mu,mean,truth,1.08347537823045
13,tau,mean,truth,1.30863295855537
13,log_tau,mean,truth,0.268983049255372
13,mu,mean,mfvb,1.11315278707677
13,tau,mean,mfvb,1.34328033842379
13,log_tau,mean,mfvb,0.293129196972069
13,mu,sd,mfvb,0.0388199610495497
13,tau,sd,mfvb,0.084618707536001
13,log_tau,sd,mfvb,0.0630566245743312
13,mu,sd,lrvb,0.0548543998128406
13,tau,sd,lrvb,0.144256679193316
13,log_tau,sd,lrvb,0.107428043013712
13,mu,mean,mcmc,1.11067501329355
13,mu,sd,mcmc,0.055331303493517
13,mu,effsize,mcmc,1145.8350129771
13,tau,mean,mcmc,1.28525939121292
13,tau,sd,mcmc,0.14721237110358
13,tau,effsize,mcmc,1089.81315011138
13,log_tau,mean,mcmc,0.244462607578211
13,log_tau,sd,mcmc,0.113981072537392
14,mu,mean,truth,0.367316823290285
14,tau,mean,truth,3.57757316639519
14,log_tau,mean,truth,1.27468468406189
14,mu,mean,mfvb,0.380070077156779
14,tau,mean,mfvb,4.16901443564785
14,log_tau,mean,mfvb,1.42569422227373
14,mu,sd,mfvb,0.0220375013784488
14,tau,sd,mfvb,0.262623224022916
14,log_tau,sd,mfvb,0.0630566245743312
14,mu,sd,lrvb,0.0453637120015949
14,tau,sd,lrvb,0.831215837810946
