sim.id,variable,measurement,method,value
1,z_90,mean,mcmc,-0.705367523480123
1,z_90,sd,mcmc,0.752600297767584
1,z_91,mean,mcmc,-0.0685095140848007
1,z_91,sd,mcmc,0.664104060939
1,z_92,mean,mcmc,2.96268537146592
1,z_92,sd,mcmc,0.223111241007795
1,z_93,mean,mcmc,-0.837603477266799
1,z_93,sd,mcmc,0.760746851782656
1,z_94,mean,mcmc,0.211703350063307
1,z_94,sd,mcmc,0.63249308472495
1,z_95,mean,mcmc,-0.489951164200157
1,z_95,sd,mcmc,0.728594018883439
1,z_96,mean,mcmc,-0.148311086788207
1,z_96,sd,mcmc,0.68850858744512
1,z_97,mean,mcmc,-0.502381099086195
1,z_97,sd,mcmc,0.726843095733275
1,z_98,mean,mcmc,0.495295857525223
1,z_98,sd,mcmc,0.601837019424663
1,z_99,mean,mcmc,-0.241708964633721
1,z_99,sd,mcmc,0.692644963218348
1,z_100,mean,mcmc,0.67623461828322
1,z_100,sd,mcmc,0.548103421106282
1,z_101,mean,mcmc,-0.423693722376024
1,z_101,sd,mcmc,0.710093080873032
1,z_102,mean,mcmc,-0.567977938951707
1,z_102,sd,mcmc,0.719304711300644
1,z_103,mean,mcmc,-0.0481635178429849
1,z_103,sd,mcmc,0.662543629139763
1,z_104,mean,mcmc,1.80788705603595
1,z_104,sd,mcmc,0.365834622296243
1,z_105,mean,mcmc,0.822149020639623
1,z_105,sd,mcmc,0.535243136147084
1,z_106,mean,mcmc,2.39595813128247
1,z_106,sd,mcmc,0.297917912445718
1,z_107,mean,mcmc,-0.545897632121504
1,z_107,sd,mcmc,0.716495826086302
1,z_108,mean,mcmc,-0.760873463079585
1,z_108,sd,mcmc,0.742526521184113
1,z_109,mean,mcmc,0.551138170397193
1,z_109,sd,mcmc,0.578367278082127
1,z_110,mean,mcmc,-0.884322597883184
1,z_110,sd,mcmc,0.756506989810339
1,z_111,mean,mcmc,1.01856081347409
1,z_111,sd,mcmc,0.505131994571945
1,z_112,mean,mcmc,-0.629504910044772
1,z_112,sd,mcmc,0.728286836094747
1,z_113,mean,mcmc,1.19135993780706
1,z_113,sd,mcmc,0.455560459503535
1,z_114,mean,mcmc,-0.287828137362114
1,z_114,sd,mcmc,0.69472557924761
1,z_115,mean,mcmc,0.900599496239625
1,z_115,sd,mcmc,0.521295296869985
1,z_116,mean,mcmc,0.101103179846161
1,z_116,sd,mcmc,0.672728759330919
1,z_117,mean,mcmc,-0.842150939255872
1,z_117,sd,mcmc,0.751732900006372
1,z_118,mean,mcmc,-0.828973101369789
1,z_118,sd,mcmc,0.750417396038563
1,z_119,mean,mcmc,-0.258501783619412
1,z_119,sd,mcmc,0.694429538869318
1,z_120,mean,mcmc,-0.0821700103435289
1,z_120,sd,mcmc,0.687409625494648
1,z_121,mean,mcmc,-0.768176677941084
1,z_121,sd,mcmc,0.75180738826309
1,z_122,mean,mcmc,-0.697657431694173
1,z_122,sd,mcmc,0.743815689056282
1,z_123,mean,mcmc,-0.0219578334259526
1,z_123,sd,mcmc,0.6611426306071
1,z_124,mean,mcmc,0.745914840308142
1,z_124,sd,mcmc,0.557988843861755
1,z_125,mean,mcmc,0.078706046554166
1,z_125,sd,mcmc,0.654795668002699
1,z_126,mean,mcmc,0.192229804981551
1,z_126,sd,mcmc,0.630640125422545
1,z_127,mean,mcmc,-0.485397823730042
1,z_127,sd,mcmc,0.731713026682015
1,z_128,mean,mcmc,-1.50162272481094
1,z_128,sd,mcmc,0.833976992139159
1,z_129,mean,mcmc,0.62366662133004
1,z_129,sd,mcmc,0.549662507811415
1,z_130,mean,mcmc,-1.01067179311277
1,z_130,sd,mcmc,0.776727173409651
1,z_131,mean,mcmc,-0.406429412270776
1,z_131,sd,mcmc,0.7306846279677
1,z_132,mean,mcmc,-0.537319625845801
