sim.id,method,component,x
4,mcmc,14,0.00135407814135567
4,mcmc,15,0.0451276633156526
4,mcmc,16,0
5,lrvb,1,0
5,lrvb,2,0.0103919647514295
5,lrvb,3,0.00112412447223836
5,lrvb,4,0.000427507456167888
5,lrvb,5,0.0103919647514295
5,lrvb,6,0
5,lrvb,7,0.0058002629302366
5,lrvb,8,0.00220585505577764
5,lrvb,9,0.00112412447223771
5,lrvb,10,0.00580026293023326
5,lrvb,11,0
5,lrvb,12,0.039517280728133
5,lrvb,13,0.000427507456167645
5,lrvb,14,0.00220585505577639
5,lrvb,15,0.039517280728133
5,lrvb,16,0
5,mfvb,1,0
5,mfvb,2,0.00409851894137475
5,mfvb,3,0
5,mfvb,4,0
5,mfvb,5,0.00409851894137475
5,mfvb,6,0
5,mfvb,7,0
5,mfvb,8,0
5,mfvb,9,0
5,mfvb,10,0
5,mfvb,11,0
5,mfvb,12,0.0104344645535713
5,mfvb,13,0
5,mfvb,14,0
5,mfvb,15,0.0104344645535713
5,mfvb,16,0
5,mcmc,1,0
5,mcmc,2,0.0107850448231435
5,mcmc,3,0.00133418976136776
5,mcmc,4,0.000491189594721756
5,mcmc,5,0.0107850448231435
5,mcmc,6,0
5,mcmc,7,0.00686462361672254
5,mcmc,8,0.0025262454805678
5,mcmc,9,0.00133418976136776
5,mcmc,10,0.00686462361672254
5,mcmc,11,0
5,mcmc,12,0.0430851851289064
5,mcmc,13,0.000491189594721756
5,mcmc,14,0.0025262454805678
5,mcmc,15,0.0430851851289064
5,mcmc,16,0
6,lrvb,1,0
6,lrvb,2,0.00823523970476531
6,lrvb,3,0.00153595687713045
6,lrvb,4,0.000685473309216371
6,lrvb,5,0.00823523970476532
6,lrvb,6,0
6,lrvb,7,0.00507824734438269
6,lrvb,8,0.00226634162977063
6,lrvb,9,0.00153595687713027
6,lrvb,10,0.00507824734438195
6,lrvb,11,0
6,lrvb,12,0.0379046073855359
6,lrvb,13,0.000685473309216288
6,lrvb,14,0.00226634162977031
6,lrvb,15,0.0379046073855359
6,lrvb,16,0
6,mfvb,1,0
6,mfvb,2,0.00308651441091316
